dataset,event_id,video_id,location,camera_id,label,video_path,annotation_path,start_frame,end_frame,num_frames,fps,width,height,duration_seconds,subject_id,depth_path,rgb_path,timestamp_path,accelerometer_path,annotation_format
URFD,adl-01,URFD_adl-01_cam0,Lab,cam0,NORMAL,URFD/adl-01-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,150,30.0,640,480,5.0,UNKNOWN,URFD/adl-01-cam0-d,URFD/adl-01-cam0-rgb,URFD/adl-01-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-02,URFD_adl-02_cam0,Lab,cam0,NORMAL,URFD/adl-02-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,180,30.0,640,480,6.0,UNKNOWN,URFD/adl-02-cam0-d,URFD/adl-02-cam0-rgb,URFD/adl-02-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-03,URFD_adl-03_cam0,Lab,cam0,NORMAL,URFD/adl-03-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,180,30.0,640,480,6.0,UNKNOWN,URFD/adl-03-cam0-d,URFD/adl-03-cam0-rgb,URFD/adl-03-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-04,URFD_adl-04_cam0,Lab,cam0,NORMAL,URFD/adl-04-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,150,30.0,640,480,5.0,UNKNOWN,URFD/adl-04-cam0-d,URFD/adl-04-cam0-rgb,URFD/adl-04-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-05,URFD_adl-05_cam0,Lab,cam0,NORMAL,URFD/adl-05-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,180,30.0,640,480,6.0,UNKNOWN,URFD/adl-05-cam0-d,URFD/adl-05-cam0-rgb,URFD/adl-05-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-06,URFD_adl-06_cam0,Lab,cam0,NORMAL,URFD/adl-06-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,230,30.0,640,480,7.67,UNKNOWN,URFD/adl-06-cam0-d,URFD/adl-06-cam0-rgb,URFD/adl-06-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-07,URFD_adl-07_cam0,Lab,cam0,NORMAL,URFD/adl-07-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,180,30.0,640,480,6.0,UNKNOWN,URFD/adl-07-cam0-d,URFD/adl-07-cam0-rgb,URFD/adl-07-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-08,URFD_adl-08_cam0,Lab,cam0,NORMAL,URFD/adl-08-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,180,30.0,640,480,6.0,UNKNOWN,URFD/adl-08-cam0-d,URFD/adl-08-cam0-rgb,URFD/adl-08-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-09,URFD_adl-09_cam0,Lab,cam0,NORMAL,URFD/adl-09-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,150,30.0,640,480,5.0,UNKNOWN,URFD/adl-09-cam0-d,URFD/adl-09-cam0-rgb,URFD/adl-09-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-10,URFD_adl-10_cam0,Lab,cam0,NORMAL,URFD/adl-10-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,300,30.0,640,480,10.0,UNKNOWN,URFD/adl-10-cam0-d,URFD/adl-10-cam0-rgb,URFD/adl-10-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-11,URFD_adl-11_cam0,Lab,cam0,NORMAL,URFD/adl-11-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,300,30.0,640,480,10.0,UNKNOWN,URFD/adl-11-cam0-d,URFD/adl-11-cam0-rgb,URFD/adl-11-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-12,URFD_adl-12_cam0,Lab,cam0,NORMAL,URFD/adl-12-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,250,30.0,640,480,8.33,UNKNOWN,URFD/adl-12-cam0-d,URFD/adl-12-cam0-rgb,URFD/adl-12-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-13,URFD_adl-13_cam0,Lab,cam0,NORMAL,URFD/adl-13-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,265,30.0,640,480,8.83,UNKNOWN,URFD/adl-13-cam0-d,URFD/adl-13-cam0-rgb,URFD/adl-13-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-14,URFD_adl-14_cam0,Lab,cam0,NORMAL,URFD/adl-14-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,235,30.0,640,480,7.83,UNKNOWN,URFD/adl-14-cam0-d,URFD/adl-14-cam0-rgb,URFD/adl-14-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-15,URFD_adl-15_cam0,Lab,cam0,NORMAL,URFD/adl-15-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,275,30.0,640,480,9.17,UNKNOWN,URFD/adl-15-cam0-d,URFD/adl-15-cam0-rgb,URFD/adl-15-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-16,URFD_adl-16_cam0,Lab,cam0,NORMAL,URFD/adl-16-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,240,30.0,640,480,8.0,UNKNOWN,URFD/adl-16-cam0-d,URFD/adl-16-cam0-rgb,URFD/adl-16-data.csv,UNKNOWN,CSV_TIMESTAMPS
URFD,adl-17,URFD_adl-17_cam0,Lab,cam0,NORMAL,URFD/adl-17-cam0.mp4,UNKNOWN,UNKNOWN,UNKNOWN,230,30.0,640,480,7.67,UNKNOWN,URFD/adl-17-cam0-d,URFD/adl-17-cam0-rgb,URFD/adl-17-data.csv,UNKNOWN,CSV_TIMESTAMPS
