variant_key,variant_name,fold,test_location,tau_star,f1_default,f1_optimal,precision,recall,specificity,roc_auc,pr_auc,tp,fp,tn,fn
exp17_a_control,EXP17-A: K1 Control (Unweighted),1,Coffee_room_01,0.33999999999999997,0.9187675070028011,0.9222222222222223,0.8829787234042553,0.9651162790697675,0.9333333333333333,0.964578928823115,0.9162253659459708,166,22,308,6
exp17_a_control,EXP17-A: K1 Control (Unweighted),2,Coffee_room_02,0.2,0.9019607843137255,0.8867924528301887,0.7966101694915254,1.0,0.9669421487603306,0.9914717777387023,0.8750568931036209,47,12,351,0
exp17_a_control,EXP17-A: K1 Control (Unweighted),3,Home_01,0.48,0.7738693467336684,0.7738693467336684,0.7064220183486238,0.8555555555555555,0.785234899328859,0.888441461595824,0.8308939739829198,77,32,117,13
exp17_a_control,EXP17-A: K1 Control (Unweighted),4,Home_02,0.44000000000000006,0.8695652173913043,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.968609865470852,0.9932735426008968,0.9412036707395627,20,7,216,2
exp17_b_weighted_loss,EXP17-B: Class-Weighted Loss,1,Coffee_room_01,0.39,0.9075144508670521,0.9080459770114943,0.8977272727272727,0.9186046511627907,0.9454545454545454,0.9629668780831571,0.8993553605313378,158,18,312,14
exp17_b_weighted_loss,EXP17-B: Class-Weighted Loss,2,Coffee_room_02,0.48,0.8598130841121495,0.8598130841121495,0.7666666666666667,0.9787234042553191,0.9614325068870524,0.9867241076138561,0.886421195424449,46,14,349,1
exp17_b_weighted_loss,EXP17-B: Class-Weighted Loss,3,Home_01,0.21000000000000002,0.7932960893854749,0.7912087912087912,0.782608695652174,0.8,0.8657718120805369,0.8920208799403431,0.8447892397764382,72,20,129,18
exp17_b_weighted_loss,EXP17-B: Class-Weighted Loss,4,Home_02,0.56,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9730941704035875,0.9926620464737057,0.9196793330093747,20,6,217,2
exp17_c_oversampling,EXP17-C: Random Oversampling,1,Coffee_room_01,0.54,0.9096045197740112,0.9028571428571428,0.8876404494382022,0.9186046511627907,0.9393939393939394,0.9626497533474278,0.9088660607183442,158,20,310,14
exp17_c_oversampling,EXP17-C: Random Oversampling,2,Coffee_room_02,0.37,0.8598130841121495,0.8440366972477065,0.7419354838709677,0.9787234042553191,0.9559228650137741,0.9766426352499854,0.7769681901762692,46,16,347,1
exp17_c_oversampling,EXP17-C: Random Oversampling,3,Home_01,0.65,0.7891891891891892,0.7734806629834254,0.7692307692307693,0.7777777777777778,0.8590604026845637,0.8923191648023863,0.8385985771261644,70,21,128,20
exp17_c_oversampling,EXP17-C: Random Oversampling,4,Home_02,0.69,0.7333333333333333,0.6909090909090909,0.5757575757575758,0.8636363636363636,0.9372197309417041,0.9771708112515287,0.831838398315671,19,14,209,3
exp17_d_balanced_sampler,EXP17-D: Balanced Batch Sampler,1,Coffee_room_01,0.6799999999999999,0.9273743016759777,0.9235127478753541,0.9005524861878453,0.9476744186046512,0.9454545454545454,0.9674154334038055,0.9081868128506133,163,18,312,9
exp17_d_balanced_sampler,EXP17-D: Balanced Batch Sampler,2,Coffee_room_02,0.23,0.8598130841121495,0.8518518518518519,0.7540983606557377,0.9787234042553191,0.9586776859504132,0.9791630033409531,0.7369757976238435,46,15,348,1
exp17_d_balanced_sampler,EXP17-D: Balanced Batch Sampler,3,Home_01,0.24000000000000002,0.7634408602150538,0.7589743589743589,0.7047619047619048,0.8222222222222222,0.7919463087248322,0.8822147651006711,0.8448798311426665,74,31,118,16
exp17_d_balanced_sampler,EXP17-D: Balanced Batch Sampler,4,Home_02,0.29000000000000004,0.8979591836734694,0.88,0.7857142857142857,1.0,0.9730941704035875,0.9971463514064411,0.9714944406539996,22,6,217,0
