threshold,fold,test_location,f1,precision,recall,specificity,accuracy,tp,fp,tn,fn
0.3,1,Coffee_room_01,0.9222222222222223,0.8829787234042553,0.9651162790697675,0.9333333333333333,0.9442231075697212,166,22,308,6
0.3,2,Coffee_room_02,0.8952380952380953,0.8103448275862069,1.0,0.9696969696969697,0.973170731707317,47,11,352,0
0.3,3,Home_01,0.7745098039215687,0.6929824561403509,0.8777777777777778,0.7651006711409396,0.8075313807531381,79,35,114,11
0.3,4,Home_02,0.8301886792452831,0.7096774193548387,1.0,0.9596412556053812,0.963265306122449,22,9,214,0
0.35,1,Coffee_room_01,0.9222222222222223,0.8829787234042553,0.9651162790697675,0.9333333333333333,0.9442231075697212,166,22,308,6
0.35,2,Coffee_room_02,0.9038461538461539,0.8245614035087719,1.0,0.9724517906336089,0.975609756097561,47,10,353,0
0.35,3,Home_01,0.7745098039215687,0.6929824561403509,0.8777777777777778,0.7651006711409396,0.8075313807531381,79,35,114,11
0.35,4,Home_02,0.8301886792452831,0.7096774193548387,1.0,0.9596412556053812,0.963265306122449,22,9,214,0
0.4,1,Coffee_room_01,0.9217877094972067,0.8870967741935484,0.9593023255813954,0.9363636363636364,0.9442231075697212,165,21,309,7
0.4,2,Coffee_room_02,0.9038461538461539,0.8245614035087719,1.0,0.9724517906336089,0.975609756097561,47,10,353,0
0.4,3,Home_01,0.7722772277227723,0.6964285714285714,0.8666666666666667,0.7718120805369127,0.8075313807531381,78,34,115,12
0.4,4,Home_02,0.8301886792452831,0.7096774193548387,1.0,0.9596412556053812,0.963265306122449,22,9,214,0
0.45,1,Coffee_room_01,0.9187675070028011,0.8864864864864865,0.9534883720930233,0.9363636363636364,0.9422310756972112,164,21,309,8
0.45,2,Coffee_room_02,0.9038461538461539,0.8245614035087719,1.0,0.9724517906336089,0.975609756097561,47,10,353,0
0.45,3,Home_01,0.7661691542288557,0.6936936936936937,0.8555555555555555,0.7718120805369127,0.803347280334728,77,34,115,13
0.45,4,Home_02,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9730941704035875,0.9673469387755103,20,6,217,2
0.5,1,Coffee_room_01,0.9187675070028011,0.8864864864864865,0.9534883720930233,0.9363636363636364,0.9422310756972112,164,21,309,8
0.5,2,Coffee_room_02,0.9019607843137255,0.8363636363636363,0.9787234042553191,0.9752066115702479,0.975609756097561,46,9,354,1
0.5,3,Home_01,0.7738693467336684,0.7064220183486238,0.8555555555555555,0.785234899328859,0.8117154811715481,77,32,117,13
0.5,4,Home_02,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9820627802690582,0.9755102040816327,20,4,219,2
0.55,1,Coffee_room_01,0.9213483146067416,0.8913043478260869,0.9534883720930233,0.9393939393939394,0.9442231075697212,164,20,310,8
0.55,2,Coffee_room_02,0.92,0.8679245283018868,0.9787234042553191,0.9807162534435262,0.9804878048780488,46,7,356,1
0.55,3,Home_01,0.7872340425531915,0.7551020408163265,0.8222222222222222,0.8389261744966443,0.8326359832635983,74,24,125,16
0.55,4,Home_02,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9820627802690582,0.9755102040816327,20,4,219,2
0.6,1,Coffee_room_01,0.9178470254957507,0.8950276243093923,0.9418604651162791,0.9424242424242424,0.9422310756972112,162,19,311,10
0.6,2,Coffee_room_02,0.9183673469387755,0.8823529411764706,0.9574468085106383,0.9834710743801653,0.9804878048780488,45,6,357,2
0.6,3,Home_01,0.782608695652174,0.7659574468085106,0.8,0.8523489932885906,0.8326359832635983,72,22,127,18
0.6,4,Home_02,0.7619047619047619,0.8,0.7272727272727273,0.9820627802690582,0.9591836734693877,16,4,219,6
0.65,1,Coffee_room_01,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9515151515151515,0.9362549800796812,156,16,314,16
0.65,2,Coffee_room_02,0.7710843373493976,0.8888888888888888,0.6808510638297872,0.9889807162534435,0.9536585365853658,32,4,359,15
0.65,3,Home_01,0.8045977011494253,0.8333333333333334,0.7777777777777778,0.9060402684563759,0.8577405857740585,70,14,135,20
0.65,4,Home_02,0.8,0.8888888888888888,0.7272727272727273,0.9910313901345291,0.9673469387755103,16,2,221,6
0.7,1,Coffee_room_01,0.8658536585365854,0.9102564102564102,0.8255813953488372,0.9575757575757575,0.9123505976095617,142,14,316,30
0.7,2,Coffee_room_02,0.725,0.8787878787878788,0.6170212765957447,0.9889807162534435,0.9463414634146341,29,4,359,18
0.7,3,Home_01,0.7738095238095238,0.8333333333333334,0.7222222222222222,0.912751677852349,0.8410041841004184,65,13,136,25
0.7,4,Home_02,0.8421052631578947,1.0,0.7272727272727273,1.0,0.9755102040816327,16,0,223,6
0.75,1,Coffee_room_01,0.819047619047619,0.9020979020979021,0.75,0.9575757575757575,0.8864541832669323,129,14,316,43
0.75,2,Coffee_room_02,0.6666666666666666,0.8928571428571429,0.5319148936170213,0.9917355371900827,0.9390243902439024,25,3,360,22
0.75,3,Home_01,0.6577181208053692,0.8305084745762712,0.5444444444444444,0.9328859060402684,0.7866108786610879,49,10,139,41
0.75,4,Home_02,0.7428571428571429,1.0,0.5909090909090909,1.0,0.963265306122449,13,0,223,9
0.8,1,Coffee_room_01,0.7517241379310344,0.923728813559322,0.6337209302325582,0.9727272727272728,0.8565737051792829,109,9,321,63
0.8,2,Coffee_room_02,0.6301369863013698,0.8846153846153846,0.48936170212765956,0.9917355371900827,0.9341463414634147,23,3,360,24
0.8,3,Home_01,0.583941605839416,0.851063829787234,0.4444444444444444,0.9530201342281879,0.7615062761506276,40,7,142,50
0.8,4,Home_02,0.625,1.0,0.45454545454545453,1.0,0.9510204081632653,10,0,223,12
0.85,1,Coffee_room_01,0.5748987854251012,0.9466666666666667,0.4127906976744186,0.9878787878787879,0.7908366533864541,71,4,326,101
0.85,2,Coffee_room_02,0.5915492957746479,0.875,0.44680851063829785,0.9917355371900827,0.9292682926829269,21,3,360,26
0.85,3,Home_01,0.5039370078740157,0.8648648648648649,0.35555555555555557,0.9664429530201343,0.7364016736401674,32,5,144,58
0.85,4,Home_02,0.625,1.0,0.45454545454545453,1.0,0.9510204081632653,10,0,223,12
0.9,1,Coffee_room_01,0.462882096069869,0.9298245614035088,0.3081395348837209,0.9878787878787879,0.7549800796812749,53,4,326,119
0.9,2,Coffee_room_02,0.5797101449275363,0.9090909090909091,0.425531914893617,0.9944903581267218,0.9292682926829269,20,2,361,27
0.9,3,Home_01,0.4406779661016949,0.9285714285714286,0.28888888888888886,0.9865771812080537,0.7238493723849372,26,2,147,64
0.9,4,Home_02,0.625,1.0,0.45454545454545453,1.0,0.9510204081632653,10,0,223,12
