model_key,model_name,trainable_params,fold,test_location,best_epoch,best_val_f1,selected_tau,acc_050,prec_050,sens_050,spec_050,f1_050,event_sens_050,cm_050,acc_tau,prec_tau,sens_tau,spec_tau,f1_tau,event_sens_tau,cm_tau,latency_ms,train_time_sec
flow,Model D1 (Optical Flow-Only),65730,Fold 1,Coffee_room_01,39,0.4042553191489362,0.6500000000000001,0.8665338645418327,0.7868852459016393,0.8372093023255814,0.8818181818181818,0.8112676056338027,100.0,"[[291, 39], [28, 144]]",0.7709163346613546,0.9523809523809523,0.3488372093023256,0.990909090909091,0.5106382978723405,78.72340425531915,"[[327, 3], [112, 60]]",3.2809298804804494,88.45752540000103
flow,Model D1 (Optical Flow-Only),65730,Fold 2,Coffee_room_02,47,0.7763157894736842,0.5,0.8853658536585366,0.5,0.9361702127659575,0.8787878787878788,0.6518518518518519,100.0,"[[319, 44], [3, 44]]",0.8853658536585366,0.5,0.9361702127659575,0.8787878787878788,0.6518518518518519,100.0,"[[319, 44], [3, 44]]",2.2238990243949512,99.6395608999992
flow,Model D1 (Optical Flow-Only),65730,Fold 3,Home_01,49,0.6666666666666666,0.7000000000000001,0.6443514644351465,0.5213675213675214,0.6777777777777778,0.6241610738255033,0.5893719806763286,86.66666666666667,"[[93, 56], [29, 61]]",0.6276150627615062,0.5060240963855421,0.4666666666666667,0.7248322147651006,0.48554913294797686,83.33333333333334,"[[108, 41], [48, 42]]",2.475117154820178,139.38043260000268
flow,Model D1 (Optical Flow-Only),65730,Fold 4,Home_02,30,0.7350427350427349,0.55,0.689795918367347,0.1625,0.5909090909090909,0.6995515695067265,0.25490196078431376,57.14285714285714,"[[156, 67], [9, 13]]",0.6938775510204082,0.15584415584415584,0.5454545454545454,0.7085201793721974,0.2424242424242424,57.14285714285714,"[[158, 65], [10, 12]]",2.3132310204216213,140.0404082999994
rgb_control,Model D2 (RGB Control),65730,Fold 1,Coffee_room_01,38,0.3764705882352941,0.5,0.4701195219123506,0.33793103448275863,0.5697674418604651,0.41818181818181815,0.42424242424242425,87.2340425531915,"[[138, 192], [74, 98]]",0.4701195219123506,0.33793103448275863,0.5697674418604651,0.41818181818181815,0.42424242424242425,87.2340425531915,"[[138, 192], [74, 98]]",2.443032270912589,107.32975390000138
rgb_control,Model D2 (RGB Control),65730,Fold 2,Coffee_room_02,25,0.5595238095238095,0.5,0.7365853658536585,0.015873015873015872,0.02127659574468085,0.8292011019283747,0.018181818181818177,8.333333333333332,"[[301, 62], [46, 1]]",0.7365853658536585,0.015873015873015872,0.02127659574468085,0.8292011019283747,0.018181818181818177,8.333333333333332,"[[301, 62], [46, 1]]",2.292047560970276,116.4974403999986
rgb_control,Model D2 (RGB Control),65730,Fold 3,Home_01,41,0.4105960264900662,0.5,0.3891213389121339,0.35106382978723405,0.7333333333333333,0.18120805369127516,0.4748201438848921,83.33333333333334,"[[27, 122], [24, 66]]",0.3891213389121339,0.35106382978723405,0.7333333333333333,0.18120805369127516,0.4748201438848921,83.33333333333334,"[[27, 122], [24, 66]]",2.3339142259436847,137.9418259999984
rgb_control,Model D2 (RGB Control),65730,Fold 4,Home_02,2,0.47,0.5,0.34285714285714286,0.12021857923497267,1.0,0.27802690582959644,0.2146341463414634,100.0,"[[62, 161], [0, 22]]",0.34285714285714286,0.12021857923497267,1.0,0.27802690582959644,0.2146341463414634,100.0,"[[62, 161], [0, 22]]",2.4696085714302694,138.72727450000093
rgb_flow,Model D3 (RGB+Flow Fusion),131266,Fold 1,Coffee_room_01,45,0.4186046511627907,0.55,0.7549800796812749,0.596078431372549,0.8837209302325582,0.6878787878787879,0.711943793911007,100.0,"[[227, 103], [20, 152]]",0.7709163346613546,0.6417910447761194,0.75,0.7818181818181819,0.6916890080428956,100.0,"[[258, 72], [43, 129]]",2.38095956175887,99.46452560000034
rgb_flow,Model D3 (RGB+Flow Fusion),131266,Fold 2,Coffee_room_02,35,0.7051282051282052,0.5,0.8585365853658536,0.4,0.46808510638297873,0.9090909090909091,0.43137254901960786,83.33333333333334,"[[330, 33], [25, 22]]",0.8585365853658536,0.4,0.46808510638297873,0.9090909090909091,0.43137254901960786,83.33333333333334,"[[330, 33], [25, 22]]",2.3141785365867955,118.34262669999953
rgb_flow,Model D3 (RGB+Flow Fusion),131266,Fold 3,Home_01,15,0.6436781609195402,0.5,0.5815899581589958,0.4444444444444444,0.4444444444444444,0.6644295302013423,0.4444444444444444,83.33333333333334,"[[99, 50], [50, 40]]",0.5815899581589958,0.4444444444444444,0.4444444444444444,0.6644295302013423,0.4444444444444444,83.33333333333334,"[[99, 50], [50, 40]]",1.5097238493699214,121.74956890000249
rgb_flow,Model D3 (RGB+Flow Fusion),131266,Fold 4,Home_02,35,0.7368421052631579,0.5,0.6938775510204082,0.1267605633802817,0.4090909090909091,0.7219730941704036,0.19354838709677422,57.14285714285714,"[[161, 62], [13, 9]]",0.6938775510204082,0.1267605633802817,0.4090909090909091,0.7219730941704036,0.19354838709677422,57.14285714285714,"[[161, 62], [13, 9]]",1.6402265306132162,100.26454620000004
