trial_id,lr,weight_decay,dropout_p,batch_size,description,mean_inner_val_f1,std_inner_val_f1,fold_1_val_f1,fold_2_val_f1,fold_3_val_f1,fold_4_val_f1
0,0.001,0.01,0.5,32,Original E2 Baseline,0.7893342079562488,0.10097966744045192,0.6153846153846153,0.8403361344537814,0.8372093023255813,0.864406779661017
1,0.0001,0.0001,0.3,16,"Low LR, Low WD, Drop 0.3",0.7826945416442653,0.09386684328689099,0.6216216216216217,0.8244274809160305,0.8275862068965518,0.8571428571428572
2,0.0003,0.0001,0.3,16,"Mid LR (3e-4), Drop 0.3",0.7889402805647419,0.0988593733933745,0.619718309859155,0.8292682926829269,0.8372093023255813,0.8695652173913043
3,0.001,0.0001,0.3,16,"Base LR (1e-3), Low WD, Drop 0.3",0.8138386689008437,0.0702463674524154,0.6956521739130435,0.8333333333333334,0.8470588235294119,0.8793103448275861
4,0.003,0.0001,0.3,16,"High LR (3e-3), Drop 0.3",0.82606581978821,0.0595700979554103,0.7272727272727272,0.8429752066115702,0.8470588235294119,0.8869565217391304
5,0.0003,0.0,0.2,16,"No WD, Drop 0.2",0.7914013609160221,0.0989083961632256,0.6216216216216217,0.8372093023255814,0.8372093023255813,0.8695652173913043
6,0.0003,1e-05,0.2,16,"Tiny WD (1e-5), Drop 0.2",0.7914013609160221,0.0989083961632256,0.6216216216216217,0.8372093023255814,0.8372093023255813,0.8695652173913043
7,0.0003,0.001,0.2,16,"Moderate WD (1e-3), Drop 0.2",0.7914013609160221,0.0989083961632256,0.6216216216216217,0.8372093023255814,0.8372093023255813,0.8695652173913043
8,0.0003,0.0001,0.5,16,"Mid LR, Drop 0.5",0.7864862336273724,0.10057603676969569,0.6133333333333333,0.8333333333333333,0.8372093023255813,0.8620689655172413
9,0.0003,0.0001,0.3,8,Small Batch Size (8),0.8107475588471154,0.07901287626468322,0.676470588235294,0.85,0.8372093023255813,0.8793103448275861
10,0.0003,0.0001,0.3,32,Large Batch Size (32),0.7816001065405936,0.1067024413082877,0.5974025974025974,0.8346456692913385,0.8372093023255813,0.8571428571428572
11,0.001,0.0001,0.2,16,"Base LR, Low WD, Drop 0.2",0.8079016548294822,0.07197562989106804,0.6857142857142857,0.8292682926829269,0.8470588235294119,0.8695652173913043
