scope,location,category,window_count,accuracy,sensitivity,specificity,f1_score
Overall,All,Fully Detected,710,0.9422535211267605,0.8987341772151899,0.9547101449275363,0.8738461538461538
Overall,All,Partially Detected,585,0.8683760683760684,0.810126582278481,0.8899297423887588,0.7687687687687688
Overall,All,Completely Undetected,101,0.8514851485148515,0.0,1.0,0.0
Location,Coffee_room_01,Fully Detected,379,0.941952506596306,0.9636363636363636,0.9330855018587361,0.905982905982906
Location,Coffee_room_01,Partially Detected,120,0.8666666666666667,0.864406779661017,0.8688524590163934,0.864406779661017
Location,Coffee_room_01,Completely Undetected,3,0.0,0.0,0.0,0.0
Location,Coffee_room_02,Fully Detected,304,0.9539473684210527,0.7428571428571429,0.9814126394052045,0.787878787878788
Location,Coffee_room_02,Partially Detected,98,0.9183673469387755,1.0,0.9080459770114943,0.7333333333333334
Location,Coffee_room_02,Completely Undetected,8,0.875,0.0,1.0,0.0
Location,Home_01,Fully Detected,19,0.7368421052631579,0.7272727272727273,0.75,0.761904761904762
Location,Home_01,Partially Detected,187,0.7914438502673797,0.76,0.8125,0.7450980392156863
Location,Home_01,Completely Undetected,33,0.8787878787878788,0.0,1.0,0.0
Location,Home_02,Fully Detected,8,1.0,1.0,1.0,1.0
Location,Home_02,Partially Detected,180,0.9222222222222223,0.6923076923076923,0.9401197604790419,0.5625
Location,Home_02,Completely Undetected,57,0.8771929824561403,0.0,1.0,0.0
