model_key,model_name,trainable_params,fold,test_location,best_epoch,best_val_f1,selected_tau,acc_050,prec_050,sens_050,spec_050,f1_050,event_sens_050,cm_050,acc_tau,prec_tau,sens_tau,spec_tau,f1_tau,event_sens_tau,cm_tau,latency_ms,train_time_sec
mean,Model A (Mean-Only),32962,Fold 1,Coffee_room_01,35,0.7826086956521738,0.45,0.9063745019920318,0.8834355828220859,0.8372093023255814,0.9424242424242424,0.8597014925373135,100.0,"[[311, 19], [28, 144]]",0.9123505976095617,0.8855421686746988,0.8546511627906976,0.9424242424242424,0.8698224852071005,100.0,"[[311, 19], [25, 147]]",0.8472486055781694,38.324035300000105
mean,Model A (Mean-Only),32962,Fold 2,Coffee_room_02,42,0.8759124087591241,0.5,0.9170731707317074,0.5844155844155844,0.9574468085106383,0.9118457300275482,0.7258064516129032,100.0,"[[331, 32], [2, 45]]",0.9170731707317074,0.5844155844155844,0.9574468085106383,0.9118457300275482,0.7258064516129032,100.0,"[[331, 32], [2, 45]]",0.8556941463367123,43.4943194999978
mean,Model A (Mean-Only),32962,Fold 3,Home_01,17,0.923076923076923,0.45,0.6861924686192469,0.8260869565217391,0.2111111111111111,0.9731543624161074,0.336283185840708,30.0,"[[145, 4], [71, 19]]",0.6903765690376569,0.8333333333333334,0.2222222222222222,0.9731543624161074,0.3508771929824561,33.33333333333333,"[[145, 4], [70, 20]]",0.8582054393308258,50.9334194999974
mean,Model A (Mean-Only),32962,Fold 4,Home_02,38,0.8947368421052632,0.5,0.44081632653061226,0.12903225806451613,0.9090909090909091,0.39461883408071746,0.22598870056497175,100.0,"[[88, 135], [2, 20]]",0.44081632653061226,0.12903225806451613,0.9090909090909091,0.39461883408071746,0.22598870056497175,100.0,"[[88, 135], [2, 20]]",0.8686942857041556,51.16840609999781
mean_std,Model B (Mean+Std Control),65730,Fold 1,Coffee_room_01,42,0.8421052631578948,0.4,0.9462151394422311,0.8835978835978836,0.9709302325581395,0.9333333333333333,0.9252077562326869,100.0,"[[308, 22], [5, 167]]",0.9482071713147411,0.8842105263157894,0.9767441860465116,0.9333333333333333,0.9281767955801105,100.0,"[[308, 22], [4, 168]]",0.8512709163373059,40.36324209999657
mean_std,Model B (Mean+Std Control),65730,Fold 2,Coffee_room_02,43,0.8529411764705882,0.4,0.9878048780487805,0.9038461538461539,1.0,0.9862258953168044,0.9494949494949495,100.0,"[[358, 5], [0, 47]]",0.9804878048780488,0.8545454545454545,1.0,0.977961432506887,0.9215686274509803,100.0,"[[355, 8], [0, 47]]",0.9007280487844028,45.35157039999831
mean_std,Model B (Mean+Std Control),65730,Fold 3,Home_01,47,0.935064935064935,0.5,0.702928870292887,0.8275862068965517,0.26666666666666666,0.9664429530201343,0.4033613445378151,46.666666666666664,"[[144, 5], [66, 24]]",0.702928870292887,0.8275862068965517,0.26666666666666666,0.9664429530201343,0.4033613445378151,46.666666666666664,"[[144, 5], [66, 24]]",0.8817661087868676,52.44488210000054
mean_std,Model B (Mean+Std Control),65730,Fold 4,Home_02,44,0.8990825688073394,0.5,0.9183673469387755,0.5384615384615384,0.6363636363636364,0.9461883408071748,0.5833333333333334,85.71428571428571,"[[211, 12], [8, 14]]",0.9183673469387755,0.5384615384615384,0.6363636363636364,0.9461883408071748,0.5833333333333334,85.71428571428571,"[[211, 12], [8, 14]]",0.8845379591826825,56.886323900002026
gru,Model C (1-Layer GRU),113122,Fold 1,Coffee_room_01,20,0.8767123287671234,0.55,0.9621513944223108,0.9047619047619048,0.9941860465116279,0.9454545454545454,0.9473684210526316,100.0,"[[312, 18], [1, 171]]",0.9621513944223108,0.9047619047619048,0.9941860465116279,0.9454545454545454,0.9473684210526316,100.0,"[[312, 18], [1, 171]]",0.8947705179283607,43.115864199997304
gru,Model C (1-Layer GRU),113122,Fold 2,Coffee_room_02,31,0.9323308270676692,0.35000000000000003,0.9878048780487805,0.9038461538461539,1.0,0.9862258953168044,0.9494949494949495,100.0,"[[358, 5], [0, 47]]",0.9878048780487805,0.9038461538461539,1.0,0.9862258953168044,0.9494949494949495,100.0,"[[358, 5], [0, 47]]",0.89577024390143,48.30320730000312
gru,Model C (1-Layer GRU),113122,Fold 3,Home_01,1,0.935064935064935,0.25,0.6778242677824268,0.8421052631578947,0.17777777777777778,0.9798657718120806,0.29357798165137616,23.333333333333332,"[[146, 3], [74, 16]]",0.6820083682008368,0.6521739130434783,0.3333333333333333,0.8926174496644296,0.44117647058823534,53.333333333333336,"[[133, 16], [60, 30]]",0.8905857740581147,56.098045799997635
gru,Model C (1-Layer GRU),113122,Fold 4,Home_02,39,0.9444444444444444,0.15000000000000002,0.8653061224489796,0.39215686274509803,0.9090909090909091,0.8609865470852018,0.547945205479452,100.0,"[[192, 31], [2, 20]]",0.8163265306122449,0.3230769230769231,0.9545454545454546,0.8026905829596412,0.4827586206896552,100.0,"[[179, 44], [1, 21]]",0.8819330612266417,55.571419099997
