window_id,event_id,video_path,location,fold,ground_truth_label,ground_truth_int,predicted_prob,threshold_used,predicted_class,is_correct,error_type,confidence_margin,error_confidence,mean_keypoint_vis,max_vert_vel,min_vert_vel
Le2i_Coffee_room_01_video (1)_w003,Le2i_Coffee_room_01_video (1),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (1).avi,Coffee_room_01,1,NORMAL,0,0.860922,0.47,1,False,FP,0.390922,0.860922,0.4287,0.247895,-0.215055
Le2i_Coffee_room_01_video (11)_w016,Le2i_Coffee_room_01_video (11),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (11).avi,Coffee_room_01,1,NORMAL,0,0.864196,0.47,1,False,FP,0.394196,0.864196,0.42,0.174135,-0.204943
Le2i_Coffee_room_01_video (13)_w005,Le2i_Coffee_room_01_video (13),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (13).avi,Coffee_room_01,1,FALL,1,0.0,0.47,0,False,FN,0.47,1.0,0.0016,31.571028,-21.059128
Le2i_Coffee_room_01_video (14)_w003,Le2i_Coffee_room_01_video (14),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (14).avi,Coffee_room_01,1,NORMAL,0,0.876979,0.47,1,False,FP,0.406979,0.876979,0.3449,2.207026,-1.468165
Le2i_Coffee_room_01_video (17)_w002,Le2i_Coffee_room_01_video (17),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (17).avi,Coffee_room_01,1,NORMAL,0,0.850933,0.47,1,False,FP,0.380933,0.850933,0.4659,0.9049,-0.603158
Le2i_Coffee_room_01_video (18)_w007,Le2i_Coffee_room_01_video (18),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (18).avi,Coffee_room_01,1,NORMAL,0,0.898148,0.47,1,False,FP,0.428148,0.898148,0.4528,0.55568,-0.33229
Le2i_Coffee_room_01_video (19)_w002,Le2i_Coffee_room_01_video (19),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (19).avi,Coffee_room_01,1,FALL,1,0.000256,0.47,0,False,FN,0.469744,0.999744,0.4371,0.830387,-1.121509
Le2i_Coffee_room_01_video (19)_w005,Le2i_Coffee_room_01_video (19),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (19).avi,Coffee_room_01,1,NORMAL,0,0.846098,0.47,1,False,FP,0.376098,0.846098,0.4396,0.931408,-0.788245
Le2i_Coffee_room_01_video (21)_w004,Le2i_Coffee_room_01_video (21),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (21).avi,Coffee_room_01,1,NORMAL,0,1.0,0.47,1,False,FP,0.53,1.0,0.2199,51.018784,-51.018784
Le2i_Coffee_room_01_video (25)_w007,Le2i_Coffee_room_01_video (25),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (25).avi,Coffee_room_01,1,NORMAL,0,0.817692,0.47,1,False,FP,0.347692,0.817692,0.3669,1.058513,-1.037805
Le2i_Coffee_room_01_video (28)_w001,Le2i_Coffee_room_01_video (28),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (28).avi,Coffee_room_01,1,FALL,1,0.159053,0.47,0,False,FN,0.310947,0.840947,0.4234,5.316259,-8.576176
Le2i_Coffee_room_01_video (3)_w000,Le2i_Coffee_room_01_video (3),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (3).avi,Coffee_room_01,1,NORMAL,0,0.982514,0.47,1,False,FP,0.512514,0.982514,0.2174,6.65783,-15.877342
Le2i_Coffee_room_01_video (31)_w007,Le2i_Coffee_room_01_video (31),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (31).avi,Coffee_room_01,1,NORMAL,0,0.829364,0.47,1,False,FP,0.359364,0.829364,0.2977,0.555745,-0.616847
Le2i_Coffee_room_01_video (32)_w009,Le2i_Coffee_room_01_video (32),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (32).avi,Coffee_room_01,1,NORMAL,0,0.848083,0.47,1,False,FP,0.378083,0.848083,0.4472,0.125629,-0.269156
Le2i_Coffee_room_01_video (33)_w002,Le2i_Coffee_room_01_video (33),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (33).avi,Coffee_room_01,1,FALL,1,0.303168,0.47,0,False,FN,0.166832,0.696832,0.3879,1.341979,-1.47676
Le2i_Coffee_room_01_video (34)_w014,Le2i_Coffee_room_01_video (34),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (34).avi,Coffee_room_01,1,NORMAL,0,0.842528,0.47,1,False,FP,0.372528,0.842528,0.4575,0.219415,-0.1894
Le2i_Coffee_room_01_video (35)_w004,Le2i_Coffee_room_01_video (35),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (35).avi,Coffee_room_01,1,NORMAL,0,0.847978,0.47,1,False,FP,0.377978,0.847978,0.4673,0.885282,-0.996053
Le2i_Coffee_room_01_video (36)_w042,Le2i_Coffee_room_01_video (36),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (36).avi,Coffee_room_01,1,FALL,1,0.000585,0.47,0,False,FN,0.469415,0.999415,0.4525,0.224406,-0.588634
Le2i_Coffee_room_01_video (37)_w003,Le2i_Coffee_room_01_video (37),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (37).avi,Coffee_room_01,1,NORMAL,0,1.0,0.47,1,False,FP,0.53,1.0,0.2808,76.743668,-78.666176
Le2i_Coffee_room_01_video (38)_w005,Le2i_Coffee_room_01_video (38),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (38).avi,Coffee_room_01,1,NORMAL,0,0.780691,0.47,1,False,FP,0.310691,0.780691,0.4478,2.807897,-4.869135
Le2i_Coffee_room_01_video (38)_w006,Le2i_Coffee_room_01_video (38),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (38).avi,Coffee_room_01,1,NORMAL,0,0.759194,0.47,1,False,FP,0.289194,0.759194,0.4413,2.807897,-4.869135
