location,event_id,video_path,total_error_windows,fp_count,fn_count,rep_window_id,rep_error_type,rep_prob,rep_tau_star,rep_error_conf,rep_mean_vis,rep_max_down_vel,fall_ann_start_frame,fall_ann_end_frame,verified_cause,hypothesis
Coffee_room_02,Le2i_Coffee_room_02_video (70),Le2i_Coffee_room_02_video (70),6,6,0,Le2i_Coffee_room_02_video (70)_w007,FP,0.604399,0.49,0.604399,0.1937,227.555954,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Home_01,Le2i_Home_01_video (9),Le2i_Home_01_video (9),4,0,4,Le2i_Home_01_video (9)_w009,FN,1e-06,0.73,0.999999,0.3858,0.606922,149,163,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_02,Le2i_Coffee_room_02_video (63),Le2i_Coffee_room_02_video (63),3,3,0,Le2i_Coffee_room_02_video (63)_w021,FP,0.658377,0.49,0.658377,0.3625,0.373582,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Home_01,Le2i_Home_01_video (11),Le2i_Home_01_video (11),3,0,3,Le2i_Home_01_video (11)_w010,FN,2e-06,0.73,0.999998,0.3888,0.258781,137,170,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_02,Le2i_Home_02_video (50),Le2i_Home_02_video (50),3,3,0,Le2i_Home_02_video (50)_w003,FP,0.678814,0.43,0.678814,0.4674,1.435853,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Home_02,Le2i_Home_02_video (49),Le2i_Home_02_video (49),3,3,0,Le2i_Home_02_video (49)_w003,FP,0.678814,0.43,0.678814,0.4674,1.435853,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Coffee_room_01,Le2i_Coffee_room_01_video (19),Le2i_Coffee_room_01_video (19),2,1,1,Le2i_Coffee_room_01_video (19)_w002,FN,0.000256,0.47,0.999744,0.4371,0.830387,89,129,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (38),Le2i_Coffee_room_01_video (38),2,2,0,Le2i_Coffee_room_01_video (38)_w005,FP,0.780691,0.47,0.780691,0.4478,2.807897,237,260,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Home_02,Le2i_Home_02_video (53),Le2i_Home_02_video (53),2,2,0,Le2i_Home_02_video (53)_w005,FP,0.729322,0.43,0.729322,0.2233,6.529535,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Home_01,Le2i_Home_01_video (19),Le2i_Home_01_video (19),2,2,0,Le2i_Home_01_video (19)_w003,FP,0.953103,0.73,0.953103,0.3281,39.284828,129,139,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
