window_id,event_id,location,fold,ground_truth_label,error_type,predicted_prob,threshold_used,confidence_margin,error_confidence,mean_keypoint_vis,min_keypoint_vis,high_vis_ratio,low_vis_ratio,max_down_vel,mean_down_vel,max_vel_mag,mean_vel_mag,peak_abruptness_ratio,down_motion_duration,mean_torso_scale,std_torso_scale
Le2i_Coffee_room_01_video (1)_w000,Le2i_Coffee_room_01_video (1),Coffee_room_01,1,NORMAL,TN,3e-06,0.47,0.469997,0.0,0.3221,0.0,0.2624,0.6673,2.735759,-0.040467,7.266098,0.216149,0.0,32,0.837949,0.34408
Le2i_Coffee_room_01_video (1)_w001,Le2i_Coffee_room_01_video (1),Coffee_room_01,1,FALL,TP,0.918785,0.47,0.448785,0.0,0.4294,0.0,0.3776,0.5497,0.932295,-0.023043,1.403365,0.138109,0.0,42,0.623109,0.357144
Le2i_Coffee_room_01_video (1)_w002,Le2i_Coffee_room_01_video (1),Coffee_room_01,1,FALL,TP,0.880061,0.47,0.410061,0.0,0.4287,0.0,0.3733,0.5473,0.932295,-0.017158,1.403365,0.116898,0.0,34,0.256976,0.121245
Le2i_Coffee_room_01_video (1)_w003,Le2i_Coffee_room_01_video (1),Coffee_room_01,1,NORMAL,FP,0.860922,0.47,0.390922,0.860922,0.4287,0.0,0.3667,0.5455,0.247895,-0.000808,0.260724,0.039586,0.0,15,0.239134,0.033113
Le2i_Coffee_room_01_video (1)_w004,Le2i_Coffee_room_01_video (1),Coffee_room_01,1,FALL,TP,0.863739,0.47,0.393739,0.0,0.4296,0.0,0.3685,0.5455,0.337299,0.001167,0.361404,0.044053,288.8775,9,0.259567,0.012002
Le2i_Coffee_room_01_video (10)_w000,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.3667,0.0,0.2703,0.6091,0.880831,0.00333,0.881791,0.053439,264.4667,28,0.995842,0.001227
Le2i_Coffee_room_01_video (10)_w001,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4071,0.0,0.3606,0.5842,0.741658,0.00118,0.852457,0.046034,628.149,19,0.997275,0.002308
Le2i_Coffee_room_01_video (10)_w002,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,1e-06,0.47,0.469999,0.0,0.3899,0.0,0.3327,0.6042,0.143014,-0.003247,0.384005,0.045915,0.0,12,0.998131,0.003728
Le2i_Coffee_room_01_video (10)_w003,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.361,0.0,0.3018,0.6133,0.295971,-0.003669,0.509249,0.054394,0.0,17,0.975932,0.023277
Le2i_Coffee_room_01_video (10)_w004,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.3521,0.0,0.2915,0.6091,0.295971,0.000257,0.509249,0.054171,1148.6077,19,0.954041,0.012847
